Reference #,START DATE,END DATE,VendorNumber,Category MATERIAL GROUP,Category NAME,Vendor performance,ParentOANumber2,OA number,RestrictedUSVendor,PurchasingGroupNumber,AutoPOCategory,MaxAutoPOValueEx,AutoPOType,AuthorizationGroupName,AribaSupplierGroup
1,2010-05-16,2022-07-21,54567038,1662,Electrical Component,Good,429999425,429999425,Y,706,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
2780,2025-02-26,2025-06-04,59679837,2792,Site Safety Svcs,Excellent,600002144,600002144,N,138,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1382,2014-06-15,2025-06-14,57634937,2692,Equip Install & Comm,Average,440000879,440000879,N,111,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1457,2014-06-15,2025-06-14,57709437,2812,Tech/Specialized Svc,Excellent,440001021,440001021,N,111,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1515,2015-06-15,2025-06-14,57884337,2812,Tech/Specialized Svc,Poor,440001100,440001100,N,314,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,
1939,2022-05-16,2025-06-14,53494737,2862,Vegetation Mgmt,Good,600000569,600000569,N,141,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,
1941,2022-05-16,2025-06-14,53494837,2862,Vegetation Mgmt,Excellent,600000580,600000580,N,141,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2622,2020-05-15,2025-06-14,59524537,2792,Site Safety Svcs,Poor,440002229,440002229,N,141,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
2633,2022-05-16,2025-06-14,59528837,2862,Vegetation Mgmt,Excellent,600000581,600000581,N,141,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2907,2022-05-16,2025-06-14,59739338,2862,Vegetation Mgmt,Good,600000601,600000601,N,141,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2781,2020-12-14,2025-06-21,59680637,2642,Contingent Labour,Average,440002340,440002340,N,135,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
12,2011-01-29,2022-12-13,56729537,1662,Electrical Component,Average,429999429,429999429,N,706,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
2533,2018-12-10,2025-06-24,59437338,1702,Major Gen Powerhouse,Good,440001834,440001834,N,327,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
14,2012-03-03,2024-01-12,49664838,1662,Electrical Component,Good,429999436,429999436,N,700,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
2961,2022-06-21,2025-06-24,59888637,1812,Telecom Equip,Average,600000501,600000501,Y,314,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
