Category,Country,Year,Spend,Tariff_%,Material+Tariff,CarryingCost,Total_TCO
Distribution Transf,Canada,2025,10500000.0,12.2333333333,11784499.999996498,437404.10958904104,12221904.109585539
Distribution Transf,Canada,2026,11025000.0,12.2333333333,12373724.999996323,459274.31506849313,12832999.315064816
Distribution Transf,Canada,2027,11576250.000000002,12.2333333333,12992411.249996142,482238.0308219178,13474649.28081806
Switchgear,Canada,2025,10500000.0,12.2333333333,11784499.999996498,4284625.684931507,16069125.684928006
Switchgear,Canada,2026,11025000.0,12.2333333333,12373724.999996323,4498856.969178082,16872581.969174407
Switchgear,Canada,2027,11576250.000000002,12.2333333333,12992411.249996142,4723799.817636987,17716211.06763313
Aux Elec Equip,USA,2025,10500000.0,25.0,13125000.0,356856.1643835616,13481856.164383562
Aux Elec Equip,USA,2026,11025000.0,30.0,14332500.0,374698.9726027397,14707198.97260274
Aux Elec Equip,USA,2027,11576250.000000002,32.0,15280650.000000004,393433.9212328768,15674083.921232881
Aux Elec Equip,Canada,2025,10500000.0,12.2333333333,11784499.999996498,115859.58904109588,11900359.589037593
Aux Elec Equip,Canada,2026,11025000.0,12.2333333333,12373724.999996323,121652.56849315067,12495377.568489473
Aux Elec Equip,Canada,2027,11576250.000000002,12.2333333333,12992411.249996142,127735.19691780822,13120146.44691395
