Category,Country,Year,CV_Buffer,HHI,GeoRisk,FXVol,TRI
Distribution Transf,Canada,2025,1.7320508075688774,0.3333333333333333,1.0,0.02,2.285384140902211
Distribution Transf,Canada,2026,1.7320508075688774,0.3333333333333333,1.0,0.02,2.285384140902211
Distribution Transf,Canada,2027,1.7320508075688774,0.3333333333333333,1.0,0.02,2.285384140902211
Switchgear,Canada,2025,0.827756608485755,0.11111111111111112,1.0,0.02,1.1588677195968662
Switchgear,Canada,2026,0.827756608485755,0.11111111111111112,1.0,0.02,1.1588677195968662
Switchgear,Canada,2027,0.827756608485755,0.11111111111111112,1.0,0.02,1.1588677195968662
Aux Elec Equip,USA,2025,0.8989958512460291,0.3333333333333333,2.0,0.015,1.6473291845793623
Aux Elec Equip,USA,2026,0.8989958512460291,0.3333333333333333,2.0,0.015,1.6473291845793623
Aux Elec Equip,USA,2027,0.8989958512460291,0.3333333333333333,2.0,0.015,1.6473291845793623
Aux Elec Equip,Canada,2025,0.8604641692326452,0.25,1.0,0.02,1.330464169232645
Aux Elec Equip,Canada,2026,0.8604641692326452,0.25,1.0,0.02,1.330464169232645
Aux Elec Equip,Canada,2027,0.8604641692326452,0.25,1.0,0.02,1.330464169232645
